pharma_id	Name	PubChem	DrugBank	ChEBI
PA165817200	2-hydroxycarbamazepine	129274		80596
PA165817197	3-hydroxycarbamazepine	135290		80597
PA166131247	12-hydroxynevirapine	453338		145206
	leukotriene a4			15651
	leukotriene e4			15650
PA166131575	chloride	312		17996
	glutamate			14321
	succinate			26806
PA166178988	succinate semialdehyde	9543238		26805
PA166178654	alpha-ketoglutarate	164533		16810
PA451368	sodium	923		26708
PA166131354	3-methylxanthine	70639		62205
PA166131337	desmethyldoxepin	5353833		141547
PA449773	glucose	5793		17234
PA166178281	adenosine diphosphate	6022		22252
	m1			34826
	m3			51083
	n-acetyl-p-benzoquinone imine			29132
	h2o			15377
	nadph			16474
	gsh			16856
	nadp			25523
	gssg			17858
	h2o2			16240
	o2			15379
	na+			29101
	fad			16238
	nad			13389
	fmn			17621
PA166124478	endoxifen	10090750		80555
PA164712732	enzyme inhibitors			23924
PA165823907	hydroxyphenytoin	17732		63804
	nad+			15846
	ip3			16595
	gtp			15996
	pip2			18348
	dopa			49168
	gdp			17552
	camp			17489
PA166131329	etoposide glucuronide	46173784		5427
PA166131563	glutathione conjugate			24335
PA166131331	quinone	76320713		36141
	acth			3892
PA452347	glucocorticoids			24261
	sn-38g			8990
	ldl			39026
	idl			132933
	vldl			39027
	phospholipid			16247
PA451776	triglycerides			17855
	mevalonate			25350
	hdl			39025
	ca2+			29108
PA448486	arsenic trioxide	46506448	1169	30621
PA166131270	aldophosphamide	107744		2560
PA166131319	chloroacetaldehyde	33		27871
PA166131388	4-hydroxycyclophosphamide	99735		1864
	ndps			7087
PA166131349	gemcitabine diphosphate	6420157		42852
PA166131301	aldoifosfamide	189733		80563
PA166131315	4-hydroxyifosfamide	308171		80560
PA166131366	acrolein	7847		15368
PA166131285	carboxyifosfamide	124143		80564
PA166131264	alcoifosfamide	10265589		80565
PA166131387	4-ketoifosfamide	99303		80561
PA166131371	aziridine	9033		30969
PA166131307	chloroacetic acid	300		27869
	1,3-oxazolidin-2-one			1237
PA166160610	6-methylmercaptopurine riboside	237358		44081
PA166163264	thioxanthine	1268107		51055
PA166131558	npc	11756356		80552
PA166131559	apc	10077584		80551
PA166131242	3-hydroxycotinine glucuronide	53477725		133205
PA166131378	cotinine n-oxide	9815514		89087
PA166131324	norcotinine	413		89406
PA166114414	cotinine	854019		68641
PA166131561	cotinine glucuronide	178540		145221
PA166131323	nornicotine	412		28313
PA166131310	nicotine glucuronide	3035848		63860
PA166131297	nicotine n-oxide	17785		132572
PA166131340	morphine-3-glucuronide	5484731		80631
PA166131341	codeine-6-glucuronide	5489029		80580
PA166131414	normorphine	430245		7633
PA452633	morphine-6-glucuronide	5360621		80581
PA166131386	norcodeine	9925873		80579
	pgh2			15554
	txa2			15627
	pgd2			15555
	pge2			15551
	pgi2			15552
PA164713176	platinum compounds			33749
PA166131258	5'-deoxy-5-fluorocytidine	10037499		80627
	h+			15378
	gastrin			75436
	pip3			16618
PA164713207	proton pump inhibitors			49200
	amp			456215
	k+			29103
	co2			16526
PA166182027	clopidogrel carboxylic acid	9861403		83504
	farnesyl pyrophosphate			17407
	hmg-coa			15467
	geranyl pyrophosphate			17211
	acetyl-coa			15351
	adp			16761
	cyclic amp			17489
PA449483	eptifibatide	700331	63	291902
	aa			15843
	pgg2			27647
	metabolite			25212
PA166178987	diacylglycerol	6026790		18035
	5-hydroxyindoleacetic acid			27823
	p1			60949
PA166131450	demethylcitalopram	162180		80603
PA166131265	citalopram propionic acid	10403174		80605
PA166131333	abacavir 5'-monophosphate	469588		64112
	(-)-carbovir 5'-monophosphate			64116
	(-)-carbovir 5'-triphosphate			64174
	(-)-carbovir 5'-diphosphate			64172
PA166177866	metoprolol acid	62936		83478
PA166182233	o-desethyl candesartan	10047287		145224
PA166182228	glycinexylidide	87833		357241
PA166182229	monoethylglycinexylidide	24415		222828
PA166131268	carboxyibuprofen	10444113		133199
	glucuronide			15341
PA166178985	anandamide	5281969		2700
	pgf2a			15553
	am1			140154
	am9			140152
PA166178656	5-hydroxyisourate	250388		18072
PA164784024	peginterferon alfa-2b		22	63615
PA166178629	5-hydroxyindole-3-acetic acid	1826		27823
